,Address,Area,Baths,Beds,Locality,Price
0,0 Gateway,,,,"Rock Springs, WY 82901","$725,000"
1,1003 Winchester Blvd.,,4,4,"Rock Springs, WY 82901","$452,900"
2,600 Talladega,"3,154 Sq. Ft",3,5,"Rock Springs, WY 82901","$396,900"
3,3239 Spearhead Way,"3,076 Sq. Ft",3,4,"Rock Springs, WY 82901","$389,900"
4,522 Emerald Street,"1,172 Sq. Ft",3,3,"Rock Springs, WY 82901","$254,000"
5,1302 Veteran's Drive,"1,932 Sq. Ft",2,4,"Rock Springs, WY 82901","$252,900"
6,1021 Cypress Cir,"1,676 Sq. Ft",3,4,"Rock Springs, WY 82901","$210,000"
7,913 Madison Dr,"1,344 Sq. Ft",2,3,"Rock Springs, WY 82901","$209,000"
8,1344 Teton Street,"1,920 Sq. Ft",2,3,"Rock Springs, WY 82901","$199,900"
9,4 Minnies Lane,"1,664 Sq. Ft",2,3,"Rock Springs, WY 82901","$196,900"
